Timeout|Limit|Ordering|C|Average depth|Average branching|Report frequency|Progress list|Acquired amount|Unaccepted amount
180|1|random|5.0|13.011664|3.138179|1.8|[30, 66, 123, 172, 223, 280, 341, 397, 451, 507, 561, 608, 663, 718, 774, 826, 874, 918, 972, 1023, 1057, 1109, 1156, 1203, 1244, 1275, 1317, 1355, 1393, 1434, 1467, 1502, 1547, 1595, 1633, 1669, 1706, 1739, 1784, 1818, 1860, 1903, 1943, 1960, 1992, 2034, 2073, 2115, 2150, 2185, 2225, 2249, 2281, 2321, 2351, 2379, 2406, 2443, 2468, 2493, 2527, 2556, 2585, 2616, 2645, 2677, 2709, 2740, 2770, 2800, 2828, 2857, 2886, 2915, 2937, 2965, 2991, 3021, 3039, 3057, 3077, 3106, 3130, 3145, 3176, 3203, 3222, 3247, 3274, 3298, 3317, 3340, 3368, 3387, 3417, 3436, 3459, 3478, 3496]|3507|2
180|1|fixed|5.0|10.345821|8.926598|1.8|[63, 137, 213, 299, 378, 461, 540, 599, 677, 752, 824, 905, 971, 1040, 1096, 1153, 1223, 1279, 1347, 1405, 1460, 1512, 1563, 1612, 1661, 1712, 1756, 1803, 1853, 1900, 1938, 1987, 2028, 2069, 2113, 2158, 2198, 2237, 2267, 2303, 2340, 2389, 2422, 2464, 2507, 2541, 2579, 2619, 2663, 2695, 2743, 2778, 2813, 2841, 2873, 2902, 2934, 2966, 2987, 3027, 3067, 3103, 3141, 3180, 3207, 3237, 3266, 3297, 3328, 3357, 3389, 3422, 3445, 3472, 3500, 3526, 3550, 3564, 3588, 3620, 3646, 3681, 3704, 3734, 3760, 3786, 3804, 3831, 3853, 3880, 3907, 3935, 3965, 3994, 4018, 4036, 4059, 4079, 4103]|4111|21
180|10|random|5.0|10.805895|3.55608|1.8|[387, 869, 1337, 1757, 2185, 2592, 2983, 3330, 3676, 3945, 4246, 4507, 4716, 4955, 5183, 5398, 5579, 5764, 5978, 6196, 6385, 6539, 6676, 6829, 6967, 7115, 7297, 7428, 7506, 7611, 7739, 7843, 7958, 8075, 8151, 8218, 8293, 8378, 8433, 8496, 8545, 8618, 8680, 8730, 8800, 8843, 8893, 8940, 8969, 9004, 9044, 9088, 9121, 9159, 9191, 9220, 9245, 9275, 9316, 9337, 9359, 9386, 9410, 9431, 9457, 9468, 9491, 9505, 9521, 9535, 9546, 9561, 9573, 9590, 9614, 9624, 9635, 9645, 9652, 9669, 9688, 9696, 9714, 9721, 9737, 9742, 9746, 9750, 9758, 9761, 9771, 9780, 9787, 9793, 9806, 9815, 9820, 9826, 9828]|9832|0
180|10|fixed|5.0|8.992399|2.830769|1.8|[772, 1559, 2305, 2986, 3614, 4199, 4590, 5037, 5400, 5662, 5981, 6239, 6493, 6680, 6835, 7005, 7192, 7301, 7393, 7523, 7593, 7672, 7716, 7770, 7841, 7870, 7927, 7983, 8040, 8059, 8112, 8151, 8178, 8213, 8241, 8256, 8277, 8327, 8349, 8383, 8420, 8439, 8455, 8467, 8485, 8508, 8524, 8537, 8546, 8556, 8559, 8561, 8586, 8605, 8616, 8626, 8636, 8642, 8651, 8663, 8684, 8691, 8705, 8717, 8724, 8732, 8742, 8751, 8760, 8767, 8776, 8791, 8800, 8813, 8824, 8828, 8834, 8838, 8841, 8852, 8870, 8875, 8883, 8897, 8903, 8906, 8919, 8927, 8936, 8938, 8942, 8945, 8954, 8958, 8962, 8965, 8970, 8976, 8982]|8986|0
180|50|random|5.0|8.957728|3.80284|1.8|[1694, 3471, 4957, 6000, 6924, 7573, 8001, 8405, 8722, 8954, 9202, 9303, 9467, 9590, 9688, 9764, 9812, 9855, 9878, 9906, 9934, 9948, 9965, 9970, 9974, 9981, 9986, 9990, 9992, 9993, 9994, 9995, 9995, 9996, 9997, 9998, 9998, 9998, 9998, 9998, 9998]|10000|0
180|50|fixed|5.0|7.0|7.0|1.8|[3538, 5868, 7459, 8342, 8937, 9342, 9635, 9693, 9788, 9843, 9980, 9980, 9980, 9980, 9980]|10000|0
180|1|random|5.0|12.975395|3.105385|1.8|[16, 68, 119, 166, 219, 276, 326, 368, 412, 453, 499, 548, 593, 646, 681, 736, 782, 821, 870, 915, 959, 1004, 1039, 1078, 1121, 1153, 1186, 1223, 1255, 1291, 1334, 1366, 1412, 1441, 1484, 1522, 1555, 1590, 1624, 1660, 1693, 1713, 1754, 1794, 1826, 1858, 1895, 1923, 1956, 1990, 2022, 2056, 2090, 2124, 2157, 2198, 2223, 2258, 2290, 2324, 2355, 2385, 2419, 2453, 2481, 2514, 2543, 2577, 2614, 2650, 2669, 2699, 2722, 2753, 2781, 2805, 2834, 2860, 2891, 2916, 2923, 2948, 2977, 3004, 3024, 3047, 3070, 3100, 3120, 3142, 3171, 3202, 3233, 3254, 3276, 3302, 3328, 3349, 3377]|3391|26
180|1|fixed|5.0|10.353642|8.965136|1.8|[64, 130, 211, 289, 369, 446, 543, 617, 683, 765, 830, 907, 980, 1042, 1107, 1155, 1206, 1251, 1314, 1383, 1440, 1495, 1551, 1605, 1662, 1714, 1765, 1805, 1850, 1899, 1945, 1988, 2027, 2072, 2118, 2166, 2204, 2252, 2298, 2337, 2378, 2419, 2459, 2503, 2545, 2562, 2603, 2648, 2681, 2712, 2743, 2772, 2801, 2835, 2870, 2906, 2938, 2978, 3008, 3044, 3077, 3104, 3125, 3152, 3174, 3205, 3246, 3273, 3298, 3321, 3348, 3387, 3418, 3445, 3470, 3497, 3527, 3554, 3581, 3605, 3639, 3667, 3693, 3721, 3751, 3776, 3807, 3831, 3856, 3880, 3902, 3919, 3959, 3985, 4002, 4024, 4041, 4065]|4081|11
180|10|random|5.0|10.793229|3.599468|1.8|[371, 825, 1318, 1742, 2212, 2626, 3019, 3396, 3721, 4017, 4313, 4587, 4907, 5179, 5455, 5634, 5845, 6076, 6314, 6467, 6652, 6798, 6958, 7120, 7233, 7356, 7491, 7634, 7753, 7854, 7954, 8054, 8167, 8270, 8344, 8416, 8481, 8555, 8607, 8671, 8708, 8768, 8810, 8855, 8900, 8949, 8999, 9030, 9072, 9104, 9145, 9168, 9193, 9242, 9276, 9314, 9351, 9361, 9391, 9406, 9427, 9451, 9477, 9504, 9536, 9547, 9568, 9590, 9609, 9623, 9637, 9647, 9671, 9684, 9690, 9700, 9714, 9732, 9744, 9750, 9756, 9764, 9768, 9775, 9787, 9798, 9807, 9818, 9824, 9829, 9832, 9838, 9845, 9848, 9857, 9862, 9868, 9869, 9872]|9874|9
180|10|fixed|5.0|8.989307|2.820405|1.8|[875, 1782, 2593, 3273, 3822, 4292, 4720, 5181, 5476, 5751, 6109, 6391, 6590, 6750, 6923, 7022, 7198, 7309, 7413, 7469, 7509, 7611, 7689, 7791, 7845, 7888, 7965, 8023, 8060, 8117, 8131, 8162, 8218, 8246, 8283, 8314, 8346, 8370, 8392, 8406, 8421, 8440, 8464, 8470, 8499, 8537, 8556, 8565, 8580, 8582, 8585, 8607, 8623, 8630, 8644, 8662, 8665, 8674, 8682, 8691, 8706, 8719, 8730, 8745, 8755, 8760, 8777, 8783, 8788, 8791, 8801, 8806, 8811, 8812, 8824, 8830, 8845, 8859, 8863, 8874, 8876, 8889, 8897, 8902, 8909, 8925, 8935, 8944, 8945, 8952, 8968, 8976, 8990, 9004, 9007, 9018, 9021, 9027, 9035]|9035|0
180|50|random|5.0|8.933965|3.614099|1.8|[1645, 3784, 5258, 6331, 7046, 7686, 8146, 8593, 8959, 9196, 9376, 9505, 9597, 9700, 9773, 9829, 9870, 9889, 9908, 9922, 9932, 9937, 9951, 9964, 9966, 9973, 9976, 9979, 9985, 9990, 9991, 9993, 9993, 9993, 9994, 9995, 9995, 9996, 9998, 9998, 9998, 9998, 9999, 9999, 9999, 9999, 9999]|10000|0
180|50|fixed|5.0|7.0|7.0|1.8|[3828, 6435, 7725, 8574, 9120, 9460, 9719, 9780, 9938, 9938, 9938, 9973]|10000|0
180|1|random|5.0|13.000465|3.137177|1.8|[47, 99, 144, 189, 249, 305, 341, 390, 442, 497, 545, 596, 637, 691, 738, 775, 824, 867, 917, 959, 1004, 1050, 1095, 1136, 1172, 1213, 1249, 1292, 1328, 1362, 1395, 1433, 1477, 1519, 1558, 1601, 1640, 1682, 1723, 1770, 1804, 1832, 1871, 1912, 1944, 1976, 2017, 2044, 2076, 2116, 2143, 2170, 2207, 2234, 2261, 2292, 2322, 2350, 2367, 2398, 2434, 2473, 2500, 2537, 2572, 2598, 2616, 2645, 2665, 2694, 2714, 2739, 2777, 2813, 2839, 2869, 2897, 2926, 2951, 2978, 3005, 3028, 3043, 3069, 3093, 3115, 3145, 3175, 3199, 3217, 3244, 3273, 3295, 3318, 3342, 3370, 3385, 3409, 3427]|3447|4
180|1|fixed|5.0|10.343696|8.980829|1.8|[51, 117, 185, 251, 325, 402, 492, 574, 649, 712, 775, 833, 896, 960, 1030, 1098, 1153, 1208, 1250, 1314, 1372, 1432, 1481, 1537, 1580, 1637, 1696, 1729, 1785, 1843, 1895, 1948, 1992, 2035, 2077, 2113, 2150, 2197, 2239, 2272, 2314, 2358, 2403, 2439, 2484, 2501, 2537, 2576, 2621, 2664, 2698, 2742, 2787, 2829, 2871, 2905, 2934, 2966, 3008, 3044, 3078, 3115, 3149, 3181, 3207, 3241, 3271, 3293, 3330, 3363, 3395, 3425, 3454, 3476, 3503, 3528, 3556, 3584, 3604, 3634, 3653, 3681, 3715, 3735, 3757, 3780, 3807, 3822, 3855, 3872, 3892, 3915, 3933, 3953, 3978, 4000, 4026, 4050, 4077]|4083|20
180|10|random|5.0|10.793633|3.554602|1.8|[443, 998, 1447, 1861, 2305, 2717, 3093, 3465, 3824, 4184, 4484, 4790, 5066, 5281, 5480, 5668, 5913, 6135, 6324, 6522, 6726, 6906, 7084, 7218, 7311, 7364, 7497, 7627, 7737, 7851, 7951, 8055, 8134, 8237, 8305, 8391, 8457, 8533, 8609, 8662, 8731, 8790, 8825, 8862, 8911, 8948, 9000, 9032, 9070, 9116, 9162, 9195, 9236, 9273, 9331, 9367, 9401, 9426, 9451, 9481, 9497, 9520, 9538, 9557, 9561, 9575, 9598, 9614, 9628, 9647, 9657, 9675, 9691, 9702, 9709, 9714, 9727, 9728, 9732, 9744, 9754, 9765, 9770, 9774, 9786, 9797, 9803, 9809, 9812, 9814, 9817, 9823, 9829, 9834, 9840, 9851, 9858, 9859, 9860]|9865|0
180|10|fixed|5.0|8.983218|2.799567|1.8|[895, 1754, 2559, 3182, 3824, 4319, 4797, 5214, 5581, 5853, 6073, 6375, 6602, 6760, 6944, 7115, 7249, 7370, 7499, 7555, 7654, 7704, 7810, 7852, 7903, 7935, 7963, 7992, 8062, 8144, 8206, 8251, 8304, 8348, 8399, 8414, 8437, 8470, 8488, 8511, 8517, 8527, 8542, 8557, 8571, 8597, 8606, 8628, 8637, 8646, 8660, 8675, 8694, 8702, 8716, 8729, 8739, 8751, 8761, 8770, 8784, 8809, 8817, 8820, 8831, 8832, 8846, 8854, 8857, 8872, 8884, 8901, 8904, 8912, 8918, 8924, 8936, 8938, 8945, 8946, 8948, 8954, 8959, 8964, 8968, 8971, 8977, 8983, 8991, 8996, 9000, 9006, 9013, 9026, 9032, 9039, 9045, 9058]|9058|0
180|50|random|5.0|8.917023|3.608495|1.8|[2109, 3899, 5485, 6488, 7332, 7984, 8349, 8718, 9021, 9243, 9375, 9538, 9646, 9721, 9777, 9827, 9862, 9895, 9923, 9938, 9951, 9954, 9970, 9981, 9984, 9986, 9987, 9988, 9991, 9993, 9995, 9996, 9997, 9997, 9997, 9997, 9999, 9999]|10000|0
180|50|fixed|5.0|7.0|7.0|1.8|[3912, 6377, 7974, 8884, 9300, 9460, 9656, 9845, 9909, 9952, 9975]|10000|0
